Term	Dept	Crse	Sect	Title	FacultyName	StartDate	EndDate	ReportLink	FlagNoReview	ClassSize	OverallMean	OverallSD	OverallResponseRate	QualityMean	QualitySD	QualityMedian	QualityResponseRate	InstructorMean	InstructorSD	InstructorMedian	InstructorResponseRate	IntellectualChallengeMean	IntellectualChallengeSD	IntellectualChallengeMedian	IntellectualChallengeRate	TAMean	TASD	TAMedian	TARate	FeedbackMean	FeedbackSD	FeedbackMedian	FeedbackRate	RelativeWorkMean	RelativeWorkSD	RelativeWorkMedian	RelativeWorkRate
AE Fall 2023	AS History of Art	AS.010.521	02	Honors Thesis	"Feldman, Marian"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	03	Honors Thesis	"Merback, Mitchell"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	04	Honors Thesis	"Liu, Yinxing"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	05	Honors Thesis	"Hyman, Aaron M."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	06	Honors Thesis	"Schopp, Caroline Lillian"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	08	Honors Thesis	"Zchomelidse, Nino"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	09	Honors Thesis	"Anderson, Emily S.K."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	10	Honors Thesis	"Brown, Rebecca Mary"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	11	Honors Thesis	"Deleonardis, Lisa"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	12	Honors Thesis	"Stager, Jennifer M S"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.521	13	Honors Thesis	"Rustem, Unver"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.668	01	What is in a Landscape	"Liu, Yinxing"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.730	01	Vulnerable Images	"Merback, Mitchell"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	"AS History of Science, Medicine, and Technology"	AS.140.347	01	History Of Genetics	"Comfort, Nathaniel"	08/28/2023	12/08/2023	Link	0	15	4.57	0.49	0.866666667	4.69	0.48	5	0.866666667	4.77	0.44	5	0.866666667	4.85	0.38	5	0.866666667	4.83	0.58	5	0.866666667	4.92	0.28	5	0.866666667	3.38	0.77	4	0.866666667
AE Fall 2023	"AS History of Science, Medicine, and Technology"	AS.140.621	01	"Historiography in Science, Medicine, and Technology Studies"	"Frumer, Yulia"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Interdepartmental	AS.360.410	01	Humanities Research Lab: The Dutch Americas	"Hyman, Aaron M."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Interdepartmental	AS.360.610	01	Humanities Research Lab: The Dutch Americas	"Hyman, Aaron M."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Mathematics	AS.110.303	88	"The Mathematics of Politics, Democracy, and Social Choice"	"Ratigan, Christopher J"	08/28/2023	12/08/2023	Link	0	21	3.85	1.04	0.952380952	4.1	1.12	4	0.952380952	4	1.2	4	0.952380952	3.85	1.04	4	0.952380952	0	0	0	0.952380952	4.21	1.08	5	0.904761905	3.11	0.74	3	0.904761905
AE Fall 2023	"AS Medicine, Science and the Humanities"	AS.145.207	01	Automating Care: Digital Technology and the Future of Medicine	"Puglionesi, Alicia"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	"AS Medicine, Science and the Humanities"	AS.145.219	01	Science Studies and Medical Humanities: Theory and Methods	"Labruto, Nicole"	08/28/2023	12/08/2023	Link	0	18	4.1	0.89	1	4.56	0.98	5	1	4.78	0.94	5	1	4.39	0.98	5	1	0	0	0	1	3.67	1.08	4	1	3.11	0.47	3	1
AE Fall 2023	AS Military Science	AS.374.301	01	Training Management and the Warfighting Functions	"Bangsboll, Brandon"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Military Science	AS.374.301	02	Training Management and the Warfighting Functions	"Bangsboll, Brandon"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Military Science	AS.374.307	01	Leadership in Military History	"Bangsboll, Brandon"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.210.301	01	Advanced French for Writing	"Cook-Gailloud, Kristin"	08/28/2023	12/08/2023	Link	0	9	4.18	0.74	1	4.56	0.53	5	1	4.33	1	5	1	4.11	1.05	4	1	0	0	0	0.888888889	4.75	0.46	5	0.888888889	3.13	0.64	3	0.888888889
AE Fall 2023	AS Modern Languages and Literatures	AS.210.301	02	Advanced French for Writing	"Cook-Gailloud, Kristin"	08/28/2023	12/08/2023	Link	0	6	3.93	0.77	1	4.33	0.82	4.5	1	4.33	0.82	4.5	1	4	0.63	4	1	0	0	0	1	4.17	1.17	4.5	1	2.83	0.41	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.301	03	Advanced French for Writing	"Cook-Gailloud, Kristin"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.210.313	01	Medical Spanish	"Ramos, Maria Del Rosario"	08/28/2023	12/08/2023	Link	0	11	4.22	0.76	1	4.73	0.65	5	1	4	1	4	1	4.36	0.81	5	1	0	0	0	1	4.64	0.67	5	1	3.36	0.67	3	1
	AS Modern Languages and Literatures	AS.210.313	01	Medical Spanish	"Torres Burgos, Carmen"	08/28/2023	12/08/2023	Link	0	11	4.36	0.69	1	4.73	0.65	5	1	4.73	0.65	5	1	4.36	0.81	5	1	0	0	0	1	4.64	0.67	5	1	3.36	0.67	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.313	02	Medical Spanish	"Ramos, Maria Del Rosario"	08/28/2023	12/08/2023	Link	0	11	4.52	0.54	0.909090909	4.6	0.52	5	0.909090909	5	0	5	0.909090909	4.5	0.53	4.5	0.909090909	0	0	0	0.909090909	4.8	0.42	5	0.909090909	3.7	0.67	4	0.909090909
	AS Modern Languages and Literatures	AS.210.313	02	Medical Spanish	"Torres Burgos, Carmen"	08/28/2023	12/08/2023	Link	0	11	4.48	0.51	0.909090909	4.6	0.52	5	0.909090909	4.8	0.42	5	0.909090909	4.5	0.53	4.5	0.909090909	0	0	0	0.909090909	4.8	0.42	5	0.909090909	3.7	0.67	4	0.909090909
AE Fall 2023	AS Modern Languages and Literatures	AS.210.317	01	Adv Spanish Composition	"Hubbard, Aranzazu"	08/28/2023	12/08/2023	Link	0	4	4.6	0.32	1	5	0	5	1	5	0	5	1	4.75	0.5	5	1	0	0	0	1	5	0	5	1	3.5	0.58	3.5	1
	AS Modern Languages and Literatures	AS.210.317	01	Adv Spanish Composition	"Martinez-Velez, Naiara"	08/28/2023	12/08/2023	Link	0	4	4.65	0.22	1	5	0	5	1	4.75	0.5	5	1	4.75	0.5	5	1	0	0	0	1	5	0	5	1	3.5	0.58	3.5	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.318	01	Spanish for Engineering	"Martinez-Velez, Naiara"	08/28/2023	12/08/2023	Link	0	5	4.44	0.42	1	4.6	0.55	5	1	4.8	0.45	5	1	4.4	0.55	4	1	0	0	0	1	5	0	5	1	3.4	0.55	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.320	01	Advanced Modern Hebrew I	"Bessire, Mirit"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.210.351	01	Advanced Italian I	"Zannirato, Alessandro"	08/28/2023	12/08/2023	Link	0	7	4.62	0.39	1	4.86	0.38	5	1	4.8	0.45	5	1	4.71	0.49	5	1	5	0	5	1	5	0	5	1	3.14	1.07	3	1
	AS Modern Languages and Literatures	AS.210.351	01	Advanced Italian I	"Franzini, Martina"	08/28/2023	12/08/2023	Link	0	7	4.59	0.48	1	4.86	0.38	5	1	5	0	5	1	4.71	0.49	5	1	5	0	5	1	5	0	5	1	3.14	1.07	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.361	01	Advanced German I: Cultural Topics of the Modern German-speaking World	"Mifflin, Deborah McGee"	08/28/2023	12/08/2023	Link	0	5	3.96	0.85	1	4	0.71	4	1	4	0.71	4	1	4.2	1.1	5	1	0	0	0	1	4.4	0.89	5	1	3.2	0.84	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.361	02	Advanced German I: Cultural Topics of the Modern German-speaking World	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.210.392	01	Advanced Portuguese II	"De Azeredo Cerqueira, Flavia Christina"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.210.411	01	Contacts and Contrasts in Spanish for the Professions	"Ramos, Maria Del Rosario"	08/28/2023	12/08/2023	Link	0	11	4.36	0.6	1	4.64	0.67	5	1	4.64	0.67	5	1	4.64	0.67	5	1	0	0	0	1	4.64	0.5	5	1	3.27	0.47	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.411	02	Contacts and Contrasts in Spanish for the Professions	"Ramos, Maria Del Rosario"	08/28/2023	12/08/2023	Link	0	6	4.33	0.69	1	4.67	0.52	5	1	4.67	0.82	5	1	4.67	0.52	5	1	0	0	0	1	4.5	0.84	5	1	3.17	0.75	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.210.412	01	Community Based Learning - Spanish Language Practicum	"Sanchez, Loreto"	08/28/2023	12/08/2023	Link	0	8	4.3	0.53	0.875	4.71	0.49	5	0.875	4.57	0.53	5	0.875	4.83	0.41	5	0.875	4	0	4	0.875	5	0	5	0.75	2.67	1.21	2.5	0.75
AE Fall 2023	AS Modern Languages and Literatures	AS.210.412	02	Community Based Learning - Spanish Language Practicum	"Sanchez, Loreto"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.210.417	01	Eloquent French	"Cook-Gailloud, Kristin"	08/28/2023	12/08/2023	Link	0	10	4.38	0.7	0.9	4.67	0.71	5	0.9	4.56	1.01	5	0.9	4.67	0.5	5	0.9	0	0	0	0.9	4.78	0.44	5	0.9	3.22	0.83	3	0.9
AE Fall 2023	AS Modern Languages and Literatures	AS.211.265	01	Panorama of German Thought	"Jelavich, Peter"	08/28/2023	12/08/2023	Link	0	9	4.29	0.54	0.888888889	4.75	0.46	5	0.888888889	4.63	0.52	5	0.888888889	55.75	0.46	5	0.888888889	0	0	0	0.888888889	4.57	0.53	5	0.888888889	2.75	0.71	3	0.888888889
AE Fall 2023	AS Modern Languages and Literatures	AS.211.323	01	"Bees, Bugs, and other Beasties: Insects in Literature"	"Frey, Christiane"	08/28/2023	12/08/2023	Link	0	6	4.17	0.85	1	4.33	0.82	4.5	1	4.5	0.84	5	1	4.5	0.55	4.5	1	4.33	0.82	4.5	1	4	1.55	4.5	1	3.33	0.52	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.211.386	01	Italian Cinema	"Di Bianco, Laura"	08/28/2023	12/08/2023	Link	0	12	4.2	1.07	1	4.5	1.17	5	1	4.5	1.17	5	1	4	1.28	4.5	1	4.58	0.9	5	1	4.55	1.21	5	1	3.09	0.7	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.211.394	01	Brazilian Culture & Civilization	"De Azeredo Cerqueira, Flavia Christina"	08/28/2023	12/08/2023	Link	0	21	4.46	0.62	0.904761905	4.79	0.54	5	0.904761905	4.84	0.5	5	0.904761905	4.63	0.5	5	0.904761905	4.3	0.67	4	0.904761905	4.79	0.54	5	0.904761905	3.42	0.96	3	0.904761905
AE Fall 2023	AS Modern Languages and Literatures	AS.211.394	02	Brazilian Culture & Civilization	"De Azeredo Cerqueira, Flavia Christina"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.211.454	01	"The Art, Craft, and Science of Translation"	"Zannirato, Alessandro"	08/28/2023	12/08/2023	Link	0	5	4.73	0.11	1	5	0	5	1	5	0	5	1	5	0	5	1	5	0	5	1	5	0	5	1	3.4	0.55	3	1
AE Fall 2023	AS Modern Languages and Literatures	AS.212.333	01	Introduction à la littérature française I	"Russo, Elena"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.212.333	02	Introduction à la littérature française I	"Anderson, Wilda"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Modern Languages and Literatures	AS.212.456	01	"Philosophical Journeys, Real Encounters"	"Russo, Elena"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Near Eastern Studies	AS.130.250	01	"Clapping Rivers, Talking Snakes: Nature in the Hebrew Bible and Ancient Middle East"	"Cooper, Stephanie Lynn"	08/28/2023	12/08/2023	Link	0	8	4.29	0.83	0.875	4.71	0.76	5	0.875	4.71	0.76	5	0.875	4.29	0.76	4	0.875	0	0	0	0.875	4.43	0.79	5	0.875	3.29	1.11	3	0.875
AE Fall 2023	AS Neuroscience	AS.080.329	01	Current Topics in Peripheral Neuropathies and Nerve Diseases	"Farah, Mohamed H"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Neuroscience	AS.080.349	01	"Neural Oscillations, Cognition and Disease"	"Ross, Robert S"	08/28/2023	12/08/2023	Link	0	16	4.45	0.64	1	4.63	0.72	5	1	4.56	0.73	5	1	4.69	0.6	5	1	0	0	0	1	4.75	0.45	5	1	3.63	0.72	3.5	1
AE Fall 2023	AS Philosophy	AS.150.219	01	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	13	3.78	0.92	0.923076923	3.42	1.24	4	0.923076923	3.5	1.09	3	0.923076923	3.92	0.9	4	0.923076923	4.42	0.67	4.5	0.923076923	4.08	1	4	0.923076923	3.33	0.65	3	0.923076923
AE Fall 2023	AS Philosophy	AS.150.219	02	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	15	4.06	0.84	0.866666667	3.92	0.9	4	0.8	3.67	1.07	4	0.8	4.25	0.87	4.5	0.8	4.58	0.9	5	0.866666667	4.54	0.66	5	0.866666667	3.38	0.65	3	0.866666667
AE Fall 2023	AS Philosophy	AS.150.219	03	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	14	3.73	1.07	1	3.21	1.37	3	1	2.79	1.19	3	1	3.62	1.39	4	0.928571429	4.71	0.61	5	1	4.29	1.14	5	1	3.79	0.7	4	1
AE Fall 2023	AS Philosophy	AS.150.219	04	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	10	4.13	0.78	0.9	4.22	0.83	4	0.9	4	0.87	4	0.9	4.22	0.83	4	0.9	4.33	0.87	5	0.9	4.56	0.53	5	0.9	3.44	0.73	3	0.9
AE Fall 2023	AS Philosophy	AS.150.219	05	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	7	3.57	1.02	1	3.29	1.11	4	1	3.14	1.35	3	1	4.29	0.49	4	1	4	0.63	4	0.857142857	3.14	1.57	3	1	3.57	0.98	3	1
AE Fall 2023	AS Philosophy	AS.150.219	06	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	14	3.94	0.72	1	3.71	0.73	4	1	3.29	1.07	3.5	1	4	0.78	4	1	4.79	0.58	5	1	4.69	0.48	5	0.928571429	3.15	0.69	3	0.928571429
AE Fall 2023	AS Philosophy	AS.150.219	07	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	7	3.43	1.21	1	3.57	1.27	4	1	3.43	1.4	4	1	4.14	0.69	4	1	3.29	1.25	4	1	3.43	1.72	4	1	2.71	0.95	2	1
AE Fall 2023	AS Philosophy	AS.150.219	08	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Philosophy	AS.150.219	09	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	13	3.85	0.79	0.923076923	3.33	0.78	3	0.923076923	3.58	1.08	3.5	0.923076923	4	0.85	4	0.923076923	4.33	0.65	4	0.923076923	4.58	0.51	5	0.923076923	3.25	0.87	3	0.923076923
AE Fall 2023	AS Philosophy	AS.150.219	10	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	6	3.89	0.75	1	3.5	0.55	3.5	1	3.5	1.05	3.5	1	3.67	0.82	3.5	1	4.83	0.41	5	1	4.67	0.52	5	1	3.17	1.17	3	1
AE Fall 2023	AS Philosophy	AS.150.219	11	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	7	3.64	1.08	1	4	0.82	4	1	3.29	1.38	4	1	3.71	0.49	4	1	3.86	1.46	5	1	4	1.73	5	1	3	0.58	3	1
AE Fall 2023	AS Philosophy	AS.150.219	12	Introduction to Bioethics	"Bok, Hilary"	08/28/2023	12/08/2023	Link	0	6	3.94	0.68	1	3.5	0.55	3.5	1	3.5	1.05	3.5	1	4	0.63	4	1	4.67	0.52	5	1	4.33	0.52	4	1	3.67	0.82	3.5	1
AE Fall 2023	AS Philosophy	AS.150.333	01	An Iconoclast in Islamic Philosophy: Abu Bakr al-Razi	"Gungor, Huseyin"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Philosophy	AS.150.338	01	The Philosophy of Conspiracy Theories	"Ross, Ryan Daniel"	08/28/2023	12/08/2023	Link	0	18	3.95	0.66	1	4.22	0.73	4	1	4.39	0.5	4	1	3.83	0.86	4	1	0	0	0	0.888888889	4.71	0.59	5	0.944444444	2.59	0.62	3	0.944444444
AE Fall 2023	AS Philosophy	AS.150.345	01	"Me, Myself, and I: Personal Identity and the Self"	"Ringer, Sonya Maxine"	08/28/2023	12/08/2023	Link	0	18	4.53	0.31	1	4.94	0.24	5	1	4.94	0.24	5	1	4.83	0.38	5	1	0	0	0	1	4.83	0.38	5	1	3.11	0.32	3	1
AE Fall 2023	AS Political Science	AS.190.254	01	Democratic Political Theory	"Phillips, Charles"	08/28/2023	12/08/2023	Link	0	13	4.64	0.51	0.923076923	4.67	0.49	5	0.923076923	4.83	0.58	5	0.923076923	4.75	0.45	5	0.923076923	5	0	5	0.923076923	4.83	0.39	5	0.923076923	3.75	0.62	4	0.923076923
AE Fall 2023	AS Political Science	AS.190.306	01	Latin American Politics and Society in Comparative and Historical Prespective	"Mazzuca, Sebastian L"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Political Science	AS.190.405	01	Food Politics	"Sheingate, Adam"	08/28/2023	12/08/2023	Link	0	18	4.39	0.57	0.944444444	4.71	0.47	5	0.944444444	4.76	0.44	5	0.944444444	4.59	0.62	5	0.944444444	4.5	0.71	4.5	0.944444444	4.47	0.72	5	0.944444444	3.29	0.47	3	0.944444444
AE Fall 2023	AS Political Science	AS.190.437	01	Race and Ethnic Politics in the United States	"Weaver, Vesla"	08/28/2023	12/08/2023	Link	0	15	4.6	0.44	1	4.8	0.41	5	1	4.73	0.46	5	1	4.8	0.41	5	1	0	0	0	1	4.73	0.46	5	1	3.93	0.46	4	1
AE Fall 2023	AS Political Science	AS.190.458	01	Climate Geopolitics:  New-Zero Industrial Policy and World Order	"Allan, Bentley"	08/28/2023	12/08/2023	Link	0	9	4.2	0.82	1	4.33	0.71	4	1	4.13	0.99	4.5	0.888888889	4.38	0.74	4.5	0.888888889	5	0	5	0.888888889	4	1.15	4	0.777777778	3.38	0.52	3	0.888888889
AE Fall 2023	AS Political Science	AS.190.498	01	Thesis Colloquium	"Sheingate, Adam"	08/28/2023	12/08/2023	Link	0	7	4.46	0.37	1	4.86	0.38	5	1	4.86	0.38	5	1	4.57	0.53	5	1	0	0	0	1	5	0	5	1	3	0.58	3	1
AE Fall 2023	AS Political Science	AS.191.365	01	The Political History of Police	"Saxton, Stephanie Alexandra"	08/28/2023	12/08/2023	Link	0	18	4.33	0.51	0.944444444	4.47	0.62	5	0.944444444	4.41	0.62	4	0.944444444	4.71	0.47	5	0.944444444	0	0	0	0.944444444	4.88	0.33	5	0.944444444	3.18	0.53	3	0.944444444
AE Fall 2023	AS Political Science	AS.191.370	01	(Mis)Measuring Human Progress	"Trasi, Aila"	08/28/2023	12/08/2023	Link	0	12	4.25	0.77	0.916666667	4.45	0.93	5	0.916666667	4.45	0.93	5	0.916666667	4.27	1.01	5	0.916666667	0	0	0	0.916666667	4.73	0.47	5	0.916666667	3.36	0.5	3	0.916666667
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.200	01	Research Methods in Psychology	"Bowen, Jeffrey D"	08/28/2023	12/08/2023	Link	0	20	4.31	0.76	0.95	3.94	1.09	4	0.85	3.89	1.13	4	0.9	4.39	0.85	5	0.9	4.89	0.32	5	0.9	4.78	0.43	5	0.9	4	0.77	4	0.9
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.200	02	Research Methods in Psychology	"Bowen, Jeffrey D"	08/28/2023	12/08/2023	Link	0	19	4.12	0.79	0.947368421	3.73	1.16	3	0.842105263	3.67	1.4	4	0.842105263	3.67	0.9	4	0.842105263	4.93	0.26	5	0.842105263	4.93	0.26	5	0.842105263	3.8	0.77	4	0.842105263
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.200	03	Research Methods in Psychology	"Bowen, Jeffrey D"	08/28/2023	12/08/2023	Link	0	19	3.71	0.77	1	3.65	0.61	4	0.947368421	3.94	0.83	4	0.947368421	3.88	0.86	4	0.947368421	3.06	0.94	3	0.947368421	4.12	0.78	4	0.947368421	3.63	0.62	4	0.894736842
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.200	04	Research Methods in Psychology	"Bowen, Jeffrey D"	08/28/2023	12/08/2023	Link	0	21	4.06	0.93	1	3.81	1.12	4	1	4	1.12	4	0.952380952	3.81	1.21	4	1	4.7	0.66	5	0.952380952	4.58	0.61	5	0.904761905	3.47	0.84	4	0.904761905
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.200	05	Research Methods in Psychology	"Bowen, Jeffrey D"	08/28/2023	12/08/2023	Link	0	19	4.03	0.91	0.894736842	3.59	1.06	4	0.894736842	3.94	1.18	4	0.842105263	3.94	1.06	4	0.842105263	4.31	0.7	4	0.842105263	4.63	0.62	5	0.842105263	3.75	0.86	4	0.842105263
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.200	06	Research Methods in Psychology	"Bowen, Jeffrey D"	08/28/2023	12/08/2023	Link	0	20	4.17	0.84	1	3.85	1.18	4	1	4.1	1.07	4	1	4.05	0.69	4	1	4.7	0.57	5	1	4.6	0.68	5	1	3.7	0.86	4	1
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.324	01	"How to build a mind: Lessons from babies, animals, and AI"	"Cao, Qiong"	08/28/2023	12/08/2023	Link	0	14	4.24	0.73	0.928571429	4.54	0.66	5	0.928571429	4.69	0.75	5	0.928571429	4.38	0.65	4	0.928571429	0	0	0	0.928571429	4.5	0.9	5	0.857142857	3.08	0.67	3	0.857142857
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.382	01	Models of Psychotherapy	"Papadakis, Alison Moog Aubrecht"	08/28/2023	12/08/2023	Link	0	18	4.66	0.53	1	4.67	0.59	5	1	4.89	0.32	5	1	4.72	0.57	5	1	4.78	0.43	5	1	4.72	0.75	5	1	4.17	0.51	4	1
AE Fall 2023	AS Psychological & Brain Sciences	AS.200.385	01	"Mind, Brain & Experience"	"Bedny, Marina"	08/28/2023	12/08/2023	Link	0	18	3.99	1.4	0.888888889	4	1.6	5	0.888888889	4	1.57	5	0.833333333	4.29	0.99	5	0.833333333	4.07	1.69	5	0.833333333	3.86	1.61	4.5	0.833333333	3.71	0.91	3	0.833333333
AE Fall 2023	AS Public Health Studies	AS.280.101	01	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.74	1.06	0.9375	3.8	1.08	4	0.9375	3.67	1.23	4	0.9375	3.4	1.18	3	0.9375	4.4	1.12	5	0.9375	4.47	0.92	5	0.9375	2.73	0.8	3	0.9375
AE Fall 2023	AS Public Health Studies	AS.280.101	02	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	4.07	0.73	0.9375	4.27	0.88	4	0.9375	4.07	0.83	4	0.9375	3.93	0.8	4	0.9375	4.8	0.41	5	0.9375	4.73	0.46	5	0.9375	2.6	0.99	2	0.9375
AE Fall 2023	AS Public Health Studies	AS.280.101	03	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.86	0.79	0.9375	3.67	0.9	4	0.9375	3.6	1.12	4	0.9375	3.79	0.8	4	0.875	4.43	0.76	5	0.9375	4.67	0.49	5	0.9375	3	0.65	3	0.9375
AE Fall 2023	AS Public Health Studies	AS.280.101	04	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.95	0.72	1	4	0.89	4	1	3.69	1.01	4	1	3.75	0.77	4	1	4.75	0.58	5	1	4.94	0.25	5	1	2.56	0.81	2.5	1
AE Fall 2023	AS Public Health Studies	AS.280.101	05	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.99	0.85	1	4.07	1.22	5	0.9375	3.88	1.2	4	1	3.44	1.09	3.5	1	4.75	0.45	5	1	4.81	0.4	5	1	3	0.73	3	1
AE Fall 2023	AS Public Health Studies	AS.280.101	06	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	15	3.55	0.8	0.933333333	3.36	0.84	3	0.933333333	3.43	0.94	4	0.933333333	3.29	0.83	3	0.933333333	4.46	0.78	5	0.933333333	4.14	0.66	4	0.933333333	2.64	0.74	2.5	0.933333333
AE Fall 2023	AS Public Health Studies	AS.280.101	07	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	15	3.81	0.73	1	3.87	0.64	4	1	3.86	0.86	4	0.933333333	3.67	0.82	3	1	4.53	0.64	5	1	4.13	0.83	4	1	2.8	0.56	3	1
AE Fall 2023	AS Public Health Studies	AS.280.101	08	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.6	1.02	1	3.75	1	3.5	1	3.63	1.09	3	1	3.31	1.49	3	1	4.31	0.95	5	1	4.31	0.7	4	1	2.31	0.87	2	1
AE Fall 2023	AS Public Health Studies	AS.280.101	09	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.88	0.7	1	4.13	0.72	4	1	3.94	0.77	4	1	3.56	0.96	3.5	1	4.5	0.52	4.5	1	4.5	0.52	4.5	1	2.63	0.72	3	1
AE Fall 2023	AS Public Health Studies	AS.280.101	10	Introduction to Public Health	"Bulzacchelli, Maria Theresa"	08/28/2023	12/08/2023	Link	0	16	3.71	0.87	1	3.75	0.86	4	1	3.81	0.83	4	1	3.5	1.03	4	1	4.36	0.63	4	0.9375	4.13	1.06	4	0.9375	2.73	0.8	3	0.9375
AE Fall 2023	AS Public Health Studies	AS.280.240	01	Research Methods in Public Health	"Davey-Rothwell, Melissa"	08/28/2023	12/08/2023	Link	0	17	3.74	0.8	0.894736842	3.53	1.01	4	0.894736842	3.35	1.06	3	0.894736842	3.31	0.87	3	0.842105263	4.81	0.54	5	0.894736842	4.65	0.49	5	0.894736842	2.76	0.83	3	0.894736842
